id,title,description,created_at,updated_at,image_url
1,"The Godfather","""The Godfather"" is a 1972 crime film directed by Francis Ford Coppola. It follows the Corleone Mafia family, led by Vito Corleone (Marlon Brando). The story explores power, loyalty, and the consequences of organized crime, focusing on Vito's son Michael's (Al Pacino) reluctant involvement. The film is renowned for its iconic characters, memorable quotes, and its significant impact on the crime genre.","2023-12-29 18:40:48.506687","2023-12-30 15:30:53.794874",https://film-grab.com/wp-content/uploads/photo-gallery/03%20(1063).jpg?bwg=1547465432
2,"Herbie Fully Loaded","""Herbie: Fully Loaded"" is a 2005 comedy film directed by Angela Robinson. It is the sixth installment in the ""Herbie"" film series and stars Lindsay Lohan, Justin Long, and Michael Keaton. The movie follows the adventures of Herbie, a Volkswagen Beetle with a mind of its own. In this installment, Herbie becomes involved in the world of NASCAR racing after being discovered by Maggie Peyton (Lindsay Lohan), a young aspiring stock car racer. The film combines comedy, racing, and a touch of romance as Herbie competes in races and helps Maggie overcome various challenges in her racing career. ""Herbie: Fully Loaded"" is a family-friendly film that continues the legacy of the beloved anthropomorphic car character known as Herbie.","2023-12-29 18:51:25.898964","2023-12-30 18:12:57.617790",https://s3.amazonaws.com/static.rogerebert.com/uploads/review/primary_image/reviews/herbie-fully-loaded-2005/EB20050621REVIEWS506210301AR.jpg
3,"The Shawshank Redemption","Directed by Frank Darabont, this 1994 drama follows the journey of Andy Dufresne, a banker wrongly convicted of murder, as he navigates life in Shawshank State Penitentiary. ""The Shawshank Redemption"" explores themes of hope and resilience through Andy's friendship with fellow inmate Red.","2023-12-29 18:56:36.408848","2023-12-30 18:13:34.175798",https://film-grab.com/wp-content/uploads/photo-gallery/53%20(869).jpg?bwg=1547384264
4,Inception,"Christopher Nolan's 2010 mind-bending science fiction heist thriller, ""Inception,"" stars Leonardo DiCaprio as Dom Cobb. In a world where skilled thieves enter dreams to steal secrets, Cobb takes on a complex mission that blurs the lines between reality and illusion.","2023-12-29 18:57:03.551786","2023-12-30 18:14:25.281661",https://film-grab.com/wp-content/uploads/photo-gallery/21%20(506).jpg?bwg=1547222345
5,"The Dark Knight","Directed by Christopher Nolan and released in 2008, ""The Dark Knight"" is the second installment in Nolan's Batman trilogy. Christian Bale reprises his role as Batman, facing off against Heath Ledger's iconic portrayal of the Joker. The film delves into the moral dilemmas and chaos unleashed in Gotham City.","2023-12-29 18:57:21.477598","2023-12-30 18:16:11.068958",https://film-grab.com/wp-content/uploads/photo-gallery/19%20(1050).jpg?bwg=1547463351
8,"Django Unchained","Directed by Quentin Tarantino and released in 2012, ""Django Unchained"" is a Western film set in the antebellum South. Jamie Foxx stars as Django, a freed slave who partners with a bounty hunter (Christoph Waltz) to rescue his wife from a brutal plantation owner (Leonardo DiCaprio). The film blends Tarantino's signature style with a gripping narrative and a stellar cast.","2023-12-30 16:16:31.417110","2023-12-30 16:16:31.417110",https://film-grab.com/wp-content/uploads/photo-gallery/27%20(320).jpg?bwg=1547210931
9,"Pulp Fiction","Quentin Tarantino's iconic 1994 film, ""Pulp Fiction,"" is a nonlinear narrative that weaves together multiple interconnected stories. The film features an ensemble cast and is known for its unique structure, sharp dialogue, and memorable characters, solidifying its place as a cult classic.","2023-12-30 17:40:48.431150","2023-12-30 17:40:48.431150",https://film-grab.com/wp-content/uploads/photo-gallery/01%20(829).jpg?bwg=1547379566
10,"The Silence of the Lambs","Directed by Jonathan Demme and released in 1991, ""The Silence of the Lambs"" is a psychological horror-thriller. Jodie Foster stars as Clarice Starling, an FBI trainee seeking the help of imprisoned cannibalistic serial killer Hannibal Lecter (Anthony Hopkins) to catch another serial killer. The film is known for its suspenseful storytelling and outstanding performances.","2023-12-30 17:41:53.971256","2023-12-30 17:41:53.971256",https://film-grab.com/wp-content/uploads/photo-gallery/13%20(930).jpg?bwg=1547384834
11,"The Matrix","Directed by the Wachowskis and released in 1999, ""The Matrix"" is a groundbreaking science fiction film that explores themes of reality, artificial intelligence, and rebellion. Keanu Reeves plays Neo, a computer hacker who discovers the truth about the simulated reality in which humans live and joins a group of rebels in their fight against machines. The film's innovative visual effects and action sequences had a significant impact on the sci-fi genre.","2023-12-30 17:42:54.522927","2023-12-30 17:42:54.522927",https://film-grab.com/wp-content/uploads/photo-gallery/imported_from_media_libray/thematrix041.jpg?bwg=1546895510
13,"La La Land","Directed by Damien Chazelle, ""La La Land"" is a musical romantic drama starring Emma Stone and Ryan Gosling. Set in contemporary Los Angeles, the film follows the love story between a jazz musician and an aspiring actress. ""La La Land"" received praise for its nostalgic homage to classic Hollywood musicals.","2023-12-30 17:45:43.531534","2023-12-30 17:45:43.531534",https://film-grab.com/wp-content/uploads/photo-gallery/lalal054.jpg?bwg=1551286196
16,"12 Years a Slave","Directed by Steve McQueen, ""12 Years a Slave"" is a historical drama based on the memoir of Solomon Northup, a free African-American man who is abducted and sold into slavery in the pre-Civil War United States. Chiwetel Ejiofor delivers a powerful performance as Solomon, and the film offers a harrowing portrayal of the brutality of slavery, receiving critical acclaim for its historical accuracy and emotional impact.","2023-12-31 00:55:11.004777","2023-12-31 00:55:11.004777",https://film-grab.com/wp-content/uploads/photo-gallery/20%20(4).jpg?bwg=1547138703
17,"12 Angry Men","Directed by Sidney Lumet, ""12 Angry Men"" is a classic courtroom drama based on Reginald Rose's teleplay. The film revolves around the intense deliberations of a jury tasked with deciding the guilt or innocence of a young man accused of murder. The jurors, each with their biases and backgrounds, must confront their prejudices and reach a unanimous verdict.","2023-12-31 00:55:11.009293","2023-12-31 00:55:11.009293",https://film-grab.com/wp-content/uploads/photo-gallery/06%20(3).jpg?bwg=1547138407
18,13th,"Directed by Ava DuVernay, ""13th"" (2016) is a thought-provoking documentary exploring the intersection of race, justice, and mass incarceration in the United States. Through powerful interviews and archival footage, the film delves into the systemic inequalities within the criminal justice system.","2024-01-03 16:34:03.047574","2024-01-03 16:34:03.047574",https://film-grab.com/wp-content/uploads/photo-gallery/imported_from_media_libray/13th015.jpg?bwg=1546960658
19,1917,"Directed by Sam Mendes, ""1917"" (2019) is a visually stunning war film set during World War I. The story follows two British soldiers tasked with delivering a crucial message to save a battalion from a trap. The film is celebrated for its immersive, single-shot cinematography and intense storytelling.","2024-01-03 16:34:03.056818","2024-01-03 16:34:03.056818",https://film-grab.com/wp-content/uploads/2020/09/1917-028.jpg
20,1984,"An adaptation of George Orwell's classic dystopian novel, ""1984"" (1984) is a chilling exploration of a totalitarian society. Directed by Michael Radford, the film depicts a bleak future where surveillance and propaganda control every aspect of citizens' lives.","2024-01-03 16:34:03.058205","2024-01-03 16:34:03.058205",https://film-grab.com/wp-content/uploads/photo-gallery/1984_044.jpg?bwg=1569515648
21,"20,000 Days on Earth","Directed by Iain Forsyth and Jane Pollard, ""20,000 Days on Earth"" (2014) is a unique documentary-drama hybrid that offers an imaginative glimpse into a day in the life of musician Nick Cave. Blurring the lines between reality and fiction, the film provides a poetic and introspective portrait.","2024-01-03 16:34:03.060971","2024-01-03 16:34:50.003074",https://film-grab.com/wp-content/uploads/photo-gallery/20000_Days_on_Earth_043.jpg?bwg=1569323742
22,2046,"Directed by Wong Kar-wai, ""2046"" (2004) is a visually stunning romantic drama. The film, set in the future and inspired by a science fiction novel, explores themes of love, memory, and yearning. With its lush cinematography and intricate storytelling, ""2046"" captivates audiences with its dreamlike narrative.","2024-01-03 16:34:03.062137","2024-01-03 16:34:03.062137",https://film-grab.com/wp-content/uploads/photo-gallery/03%20(14).jpg?bwg=1547139684
23,"20th Century Woman","Directed by Mike Mills, ""20th Century Women"" (2016) is a coming-of-age film set in 1979. Annette Bening stars as a single mother who enlists the help of two women to raise her teenage son. The film beautifully explores generational differences, feminism, and the complexities of family dynamics.","2024-01-03 16:34:03.063126","2024-01-03 16:34:03.063126",https://film-grab.com/wp-content/uploads/photo-gallery/20th_Century_Women_021.jpg?bwg=1569322754
24,"21 Grams","Directed by Alejandro G. Iñárritu, ""21 Grams"" (2003) is a compelling drama with a nonlinear narrative. The film interweaves the lives of three characters connected by a tragic accident, exploring themes of fate, redemption, and the intricate web of human connections.","2024-01-03 16:34:03.064310","2024-01-03 16:34:03.064310",https://film-grab.com/wp-content/uploads/photo-gallery/21_Grams_044.jpg?bwg=1569329557
25,"24 Hour Party People","Directed by Michael Winterbottom, ""24 Hour Party People"" (2002) is a biographical comedy-drama that chronicles the Manchester music scene from the late 1970s to the early 1990s. Steve Coogan stars as Tony Wilson, the founder of Factory Records, offering a humorous and energetic look at the era.","2024-01-03 16:34:03.065345","2024-01-03 16:34:03.065345",https://film-grab.com/wp-content/uploads/photo-gallery/03%20(5).jpg?bwg=1547138799
26,"25th Hour","Directed by Spike Lee, ""25th Hour"" (2002) is a powerful drama following the last day of freedom for Monty Brogan (Edward Norton), a convicted drug dealer. As he reflects on his life choices, the film explores themes of regret, redemption, and the impact of decisions on one's future. Known for its poignant storytelling and strong performances, ""25th Hour"" provides a gripping examination of morality and personal accountability.","2024-01-03 16:34:03.066606","2024-01-03 16:34:03.066606",https://film-grab.com/wp-content/uploads/photo-gallery/51%20(965).jpg?bwg=1547413559
27,"3 From Hell","Directed by Rob Zombie, ""3 From Hell"" is a horror film from 2019, serving as the third installment in the Firefly trilogy. The story continues with the surviving members of the Firefly family facing new horrors. Zombie's signature gritty style and unconventional characters are central to this brutal and visually striking film.","2024-01-03 16:47:01.153925","2024-01-03 16:47:01.153925",https://film-grab.com/wp-content/uploads/photo-gallery/3_From_Hell_057.jpg?bwg=1593340975
28,"3 Women","Directed by Robert Altman, ""3 Women"" is a psychological drama from 1977, exploring identity and interpersonal relationships. The film follows the complex dynamics between three women, played by Sissy Spacek, Shelley Duvall, and Janice Rule. Altman's distinctive narrative style and dreamlike visuals contribute to the film's enigmatic atmosphere.","2024-01-03 16:47:01.177195","2024-01-03 16:47:01.177195",https://film-grab.com/wp-content/uploads/photo-gallery/19%20(1).jpg?bwg=1547047415
29,3-Iron,"Directed by Kim Ki-duk, ""3-Iron"" is a minimalist romantic drama from 2004 in South Korea. The film follows a young drifter who breaks into empty homes, leaving subtle traces of his presence. When he encounters a troubled woman, a silent connection forms, and the film unfolds as a poetic exploration of love and freedom.","2024-01-03 16:47:01.178470","2024-01-03 16:47:01.178470",https://film-grab.com/wp-content/uploads/photo-gallery/3Iron044.jpg?bwg=1653470658
30,"30 Days of Night","Directed by David Slade, ""30 Days of Night"" is a horror film from 2007 set in an Alaskan town plunged into darkness for a month. As vampires descend on the isolated community, the survivors must endure a nightmarish struggle for survival. The film is notable for its chilling atmosphere and inventive take on vampire lore.","2024-01-03 16:47:01.182500","2024-01-03 16:47:01.182500",https://film-grab.com/wp-content/uploads/photo-gallery/30_Days_of_Night_030.jpg?bwg=1569514752
31,300,"Directed by Zack Snyder, ""300"" is a visually striking action film from 2006 based on Frank Miller's graphic novel. Set in ancient Greece, the film depicts the Battle of Thermopylae, where King Leonidas (Gerard Butler) and his 300 Spartans face overwhelming odds against the Persian army. Known for its stylized visuals and iconic imagery.","2024-01-03 16:47:01.184024","2024-01-03 16:47:01.184024",https://film-grab.com/wp-content/uploads/photo-gallery/300_012.jpg?bwg=1569329389
32,31,"Directed by Rob Zombie, ""31"" is a horror-thriller from 2016 that follows a group of carnival workers kidnapped and forced to play a deadly game on Halloween night. Zombie's signature gritty and intense style is on full display, creating a brutal and unsettling cinematic experience.","2024-01-03 16:47:01.184875","2024-01-03 16:47:01.184875",https://film-grab.com/wp-content/uploads/photo-gallery/31_007.jpg?bwg=1569329518
33,"35 Shots of Rum","Directed by Claire Denis, ""35 Shots of Rum"" is a French drama from 2008 exploring the relationships between a father and daughter, neighbors, and friends. The film delicately weaves themes of love, longing, and the passage of time, offering a poignant and introspective narrative.","2024-01-03 16:47:01.186994","2024-01-03 16:47:01.186994",https://film-grab.com/wp-content/uploads/photo-gallery/28%20(7).jpg?bwg=1547139244
34,"42nd Street","Directed by Lloyd Bacon, ""42nd Street"" is a classic Hollywood musical from 1933. It takes audiences behind the scenes of a Broadway show, known for its dazzling choreography and memorable songs. The film captures the glamour and challenges of show business during the Great Depression.","2024-01-03 16:47:01.187849","2024-01-03 16:47:01.187849",https://film-grab.com/wp-content/uploads/photo-gallery/53%20(8).jpg?bwg=1547139305
35,"45 Years","Directed by Andrew Haigh, ""45 Years"" is a British drama from 2015 exploring the impact of a long-buried secret on a couple about to celebrate their 45th wedding anniversary. Charlotte Rampling and Tom Courtenay deliver powerful performances in this emotionally resonant exploration of love and memory.","2024-01-03 16:47:01.192475","2024-01-03 16:47:01.192475",https://film-grab.com/wp-content/uploads/photo-gallery/45years030.jpg?bwg=1551279970
36,"500 Days of Summer","Directed by Marc Webb, ""500 Days of Summer"" is a romantic drama from 2009. The film explores the nonlinear journey of a young man (Joseph Gordon-Levitt) as he reflects on his relationship with Summer (Zooey Deschanel). Known for its inventive narrative structure and honest portrayal of love.","2024-01-03 16:58:38.791764","2024-01-03 16:58:38.791764",https://film-grab.com/wp-content/uploads/photo-gallery/08%20(12).jpg?bwg=1547139587
37,"6 Underground","Directed by Michael Bay, ""6 Underground"" is an action-packed thriller from 2019. A team of individuals, presumed dead, forms an elite squad to take down criminals. Bay's trademark explosive visuals and high-octane sequences are prominent in this adrenaline-fueled film.","2024-01-03 16:58:38.824861","2024-01-03 16:58:38.824861",https://film-grab.com/wp-content/uploads/photo-gallery/6_Underground_031.jpg?bwg=1598511309
38,"71 Fragments of a Chronology of Chance","Directed by Michael Haneke, ""71 Fragments of a Chronology of Chance"" is a thought-provoking Austrian drama from 1994. The film weaves together seemingly unrelated narratives, exploring themes of alienation and societal disconnect. Haneke's masterful storytelling and social commentary are evident in this impactful work.","2024-01-03 16:58:38.826393","2024-01-03 16:58:38.826393",https://film-grab.com/wp-content/uploads/photo-gallery/18%20(9).jpg?bwg=1547139366
39,"8 1/2","Directed by Federico Fellini, ""8 1/2"" is a classic Italian film from 1963. The film follows a filmmaker (Marcello Mastroianni) grappling with creative block and personal struggles. Regarded as a masterpiece of cinema, Fellini's surreal and introspective storytelling continues to influence filmmakers.","2024-01-03 16:58:38.831167","2024-01-03 16:58:38.831167",https://film-grab.com/wp-content/uploads/photo-gallery/45%20(2).jpg?bwg=1547138264
40,"9 Songs","Directed by Michael Winterbottom, ""9 Songs"" is an experimental British drama from 2004. The film intertwines explicit sexual encounters with a love story, exploring the connection between a couple attending live music performances. Known for its unflinching approach, the film challenges traditional narrative conventions.","2024-01-03 16:58:38.833402","2024-01-03 16:58:38.833402",https://film-grab.com/wp-content/uploads/photo-gallery/imported_from_media_libray/9songsl025.jpg?bwg=1546979513
41,"A Bay of Blood","Directed by Mario Bava, ""A Bay of Blood"" is an influential Italian horror film from 1971. Noted for its impact on the slasher genre, the film revolves around a series of murders as characters vie for a valuable inheritance. Bava's innovative cinematography and suspenseful atmosphere set the tone for future horror films.","2024-01-03 16:58:38.835855","2024-01-03 16:58:38.835855",https://film-grab.com/wp-content/uploads/photo-gallery/imported_from_media_libray/bayofblood016.jpg?bwg=1546976841
42,"A Beautiful Day In The Neighborhood","Directed by Marielle Heller, ""A Beautiful Day In The Neighborhood"" is a heartwarming biographical drama from 2019. Tom Hanks stars as Fred Rogers, the beloved TV personality. The film explores the transformative impact of Rogers on the life of a journalist, emphasizing empathy and kindness.","2024-01-03 16:58:38.838190","2024-01-03 16:58:38.838190",https://film-grab.com/wp-content/uploads/photo-gallery/A_Beautiful_Day_in_The_Neighbourhood_027.jpg?bwg=1598511981
43,"A Bigger Splash","Directed by Luca Guadagnino, ""A Bigger Splash"" is a sultry psychological drama from 2015. The film unfolds on the picturesque island of Pantelleria as the lives of a famous rock star (Tilda Swinton) and her ex-lover (Ralph Fiennes) are disrupted by the arrival of old friends. Guadagnino's sensuous storytelling and compelling performances make this a visually captivating experience.","2024-01-03 16:58:38.842914","2024-01-03 16:58:38.842914",https://film-grab.com/wp-content/uploads/photo-gallery/imported_from_media_libray/abiggersplash032.jpg?bwg=1546966597
44,"A Clockwork Orange","Directed by Stanley Kubrick, ""A Clockwork Orange"" is a dystopian crime film from 1971, based on Anthony Burgess's novel. The film follows Alex DeLarge (Malcolm McDowell), a charismatic and violent delinquent. Kubrick's bold visuals and exploration of free will and morality contribute to the film's lasting impact on cinema.","2024-01-03 16:58:38.846656","2024-01-03 16:58:38.846656",https://film-grab.com/wp-content/uploads/photo-gallery/12%20(16).jpg?bwg=1547139790
